Angle,I_S,I_AS,Temperature
0.0,25.135471877816677,16.767135248194183,289.4554261175262
10.0,19.37505692255971,12.926580210836132,289.5615078090685
20.0,11.495333305771405,7.257652702092322,256.7942627301577
30.0,4.433102525314679,2.8709649451714236,270.92405233486846
40.0,1.5867196223509885,1.077329079927938,301.78512887392196
45.0,2.241601180756622,1.4008509312000978,251.5200241858377
50.0,4.166527069439819,2.6667529218638126,264.19669733458494
60.0,10.805472556890468,7.192566959083892,288.02719859543095
70.0,19.436202990922496,12.864641944096553,284.3320774528648
80.0,26.033110248971372,17.286428035834156,286.41787449066635
90.0,25.410973023361173,16.4742765086494,271.55300504230337
100.0,19.12669014485814,12.702837124501377,286.54116774069576
110.0,11.1878338210551,7.292321911385127,274.7560514563851
120.0,3.899816292711734,2.78655715027937,344.13140707616265
130.0,1.3909544161326592,0.9383649086893487,297.1852924163866
135.0,2.1916546772746948,1.414862997440144,269.0771478075862
140.0,4.3181809207365625,2.7939614779184265,270.38455799573677
150.0,11.103128856515546,7.351843964130832,284.5770041477962
160.0,19.74160902201006,12.49152203504218,257.96137481217653
170.0,24.897847418970578,16.417799220182758,281.92494679282305
180.0,24.935366633029865,16.46536503762236,282.8081804508921
190.0,20.405290022917804,13.288000646015115,274.19785563523845
